,Unnamed: 0,Edad,Sexo,Perscargo,Estrato,Nivel de estudios,Tipo de contrato,Ingresos,Egresos,Tipo de actividad,Tipo de vivienda,Total activos,Total pasivos,Salario,Ingresos por arriendo,Ingresos por honorarios,Ingresos financieros,Otros ingresos,Gasto familiar,Gasto obligatorio,Gasto arriendo,Otros gastos,Destino,Monto,Plazo,Cuota,ConoCliente,Garantia,RespPat,Fecha_corte,CuidadRes,Ocupacion,Agencia,Cargo,Califica,FecIngEmp,FecIngreso,FecUltAct,Ciiu,Pagare,Estado,MoraCome,EndeuIndi,Puntaje
0,1,22,no,0,2,Técnico,Indefinido,949000,226000,Empleado,Familiar,0,0,949000,0,0,0,0,0,226000,0,0,Consumo,1600000,24,40930,Buenas Referencias,Libranza Establecida,Sin Patrimonio,2009-01-31,Medellin,Técnicos asistentes de servicios administrativos y afines,Belen,,1,2008-01-03,2007-03-29,2009-01-09,intermediacion finan - intermediacion finan,41707.0,Aprobado,Con Experiencia sin Mora,0,27.0
1,2,57,no,0,4,Bachiller,Ninguno,1806000,1319000,Jubilado,Propia,0,5000000,1806000,0,0,0,0,0,1319000,0,0,Consumo,5000000,36,213.932,Buena Experiencia CFB,Sin Codeudor,Prop.sin Hipoteca,2009-01-31,El Santuario,Sin Profesión,Belen,,1,1970-09-01,2001-02-26,2009-01-14,,,Aprobado,Con Experiencia sin Mora,0,63.0
2,3,21,no,0,2,Bachiller,Fijo,816000,157000,Empleado,Familiar,0,0,816000,0,0,0,0,0,157000,0,0,Consumo,6200000,36,247167,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Sin Profesión,Envigado,,0,2006-01-19,2006-10-05,2009-01-06,comercio al por mayo - comercio mantenimien,41617.0,Aprobada,Con Experiencia sin Mora,35,
3,4,23,no,0,2,Técnico,Indefinido,583000,42000,Empleado,Familiar,0,0,583000,0,0,0,0,0,42000,0,0,Consumo,1300000,12,123305,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Técnicos asistentes de servicios financieros contables y afines,Belen,,1,2007-07-17,2009-01-09,2009-01-08,intermediacion finan - intermediacion finan,41685.0,Aprobado,Sin experiencia,0,17.0
4,5,22,no,0,2,Técnico,Fijo,750000,208000,Empleado,Familiar,0,0,750000,0,0,0,0,0,208000,0,0,Consumo,1300000,18,87477,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Técnicos asistentes de servicios financieros contables y afines,Centro,,1,2008-02-01,2007-10-12,2009-01-14,industrias manufactu - fabricacion de prend,41780.0,Aprobado,Con Experiencia sin Mora,0,20.0
5,6,58,no,1,3,Bachiller,Ninguno,781966,434000,Jubilado,Propia,0,178000,781966,0,0,0,0,0,434000,0,0,Consumo,1000000,24,56.279,Buena Experiencia CFB,Sin Codeudor,Prop.sin Hipoteca,2009-01-31,Bello,Sin Profesión,Bello,,1,1969-03-31,1996-10-23,2009-01-09,,,Aprobado,Con Experiencia sin Mora,0,48.0
6,7,21,no,0,5,Profesional,Fijo,896000,50000,Empleado,Familiar,0,0,896000,0,0,0,0,0,50000,0,0,Consumo,3000000,36,119597,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Contadores,Belen,,1,2007-10-16,2009-01-28,2009-01-16,agricultura ganaderi,41857.0,Aprobado,Con Experiencia sin Mora,0,50.0
7,8,22,no,0,3,Técnico,Indefinido,561500,0,Empleado,Familiar,0,0,461500,0,0,0,100000,0,0,0,0,Consumo,1500000,18,100935,Buenas Referencias,Sin Codeudor,Sin Patrimonio,2009-01-31,Medellin,Técnicos asistentes de servicios administrativos y afines,Floresta,,0,2008-10-01,2007-09-05,2009-01-19,industrias manufactu - elaboracion de produ,41898.0,Aprobado,Con Experiencia sin Mora,0,30.0
8,9,21,yes,0,2,Técnico,Indefinido,509690,52000,Empleado,Familiar,0,0,509690,0,0,0,0,0,52000,0,0,Consumo,1500000,24,80208,Buenas Referencias,Sin Codeudor,Sin Patrimonio,2009-01-31,Medellin,Técnicos postsecundarios no universitarios y asistentes,Belen,,1,2006-04-13,2009-01-27,2009-01-26,industrias manufactu - fabricacion de produ,42095.0,Aprobada,Con Experiencia sin Mora,46,
9,10,41,yes,0,3,Bachiller,Indefinido,994800,247000,Empleado,Familiar,0,3521183,994800,0,0,0,0,0,247000,0,0,Consumo,4500000,36,183713,Buenas Referencias,Sin Codeudor,Sin Patrimonio,2009-01-31,Medellin,Sin Profesión,Belen,,0,2006-02-02,2005-08-16,2009-01-20,comercio al por mayo - comercio mantenimien,41950.0,Aprobado,Con Experiencia sin Mora,0,44.0
