,Unnamed: 0,Edad,Sexo,Perscargo,Estrato,Nivel de estudios,Tipo de contrato,Ingresos,Egresos,Tipo de actividad,Tipo de vivienda,Total activos,Total pasivos,Salario,Ingresos por arriendo,Ingresos por honorarios,Ingresos financieros,Otros ingresos,Gasto familiar,Gasto obligatorio,Gasto arriendo,Otros gastos,Destino,Monto,Plazo,Cuota,ConoCliente,Garantia,RespPat,Fecha_corte,CuidadRes,Ocupacion,Agencia,Cargo,Califica,FecIngEmp,FecIngreso,FecUltAct,Ciiu,Pagare,Estado,MoraCome,EndeuIndi,Puntaje
0,1,43,no,0,3,Profesional,Indefinido,1200000,600000,Empleado,Propia,0,0,1200000,0,0,0,0,600000,0,0,0,Consumo,269000,3,93.818,Buenas Referencias,Con Codeudor(es),Prop.con Hipoteca,2009-01-31,Medellin,Profesores de universidades y otros establecimientos de educación superior,Centro,,1,1994-01-01,1999-08-06,2008-10-20,,,Negada,Màximo 3 moras 30 Dìas,54,
1,2,44,no,0,5,Profesional,Indefinido,1560609,934000,Empleado,Familiar,0,0,1560609,0,0,0,0,0,934000,0,0,Consumo,3000000,36,124.61,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Contadores,Belen,,1,1999-01-01,2004-02-20,2009-01-26,,,Negada,Con Experiencia sin Mora,18,
2,3,72,yes,1,4,Bachiller,Ninguno,2250510,2426000,Jubilado,Propia,0,0,2250510,0,0,0,0,0,2426000,0,0,Consumo,10000000,48,350.355,Sin Referencias,Con Codeudor(es),Prop.y Vehìculo,2009-01-31,Medellin,Sin Profesión,Centro,,1,,2002-04-15,2009-01-26,,,Negado,Mora mayor a 60 Dìas,0,86.0
3,4,69,yes,0,3,Bachiller,Ninguno,522109,271000,Jubilado,Familiar,0,0,522109,0,0,0,0,0,271000,0,0,Consumo,800000,18,55.066,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Sin Profesión,Centro,,0,,2007-01-22,2009-01-15,,,Negado,Con Experiencia sin Mora,0,60.0
4,5,64,yes,4,3,Bachiller,Ninguno,1579461,334000,Jubilado,Arrendada,0,4000000,1579461,0,0,0,0,0,334000,0,0,Consumo,1200000,18,82.598,Buenas Referencias,Sin Codeudor,Sin Patrimonio,2009-01-31,Rionegro,Sin Profesión,Rionegro,,1,,2009-01-17,2009-01-16,,,Negado,Con Experiencia sin Mora,0,61.0
5,6,42,yes,2,2,Bachiller,Indefinido,561500,0,Empleado,Familiar,0,0,461500,0,0,0,100000,0,0,0,0,Consumo,2500000,24,133680,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-01-31,La Estrella,Sin Profesión,Caldas,,1,1996-06-01,2005-11-18,2009-01-20,transporte almacenam - transporte por via t,41937.0,Negado,Con Experiencia sin Mora,0,45.0
6,7,64,yes,4,3,Bachiller,Ninguno,1579461,334000,Jubilado,Arrendada,0,4000000,1579461,0,0,0,0,0,334000,0,0,Consumo,1200000,18,82.598,Buenas Referencias,Sin Codeudor,Sin Patrimonio,2009-01-31,Rionegro,Sin Profesión,Rionegro,,1,,2009-01-17,2009-01-16,,,Negado,Con Experiencia sin Mora,0,75.0
7,8,47,yes,3,3,Primaria,Indefinido,1139000,398000,Empleado,Propia,0,0,1139000,0,0,0,0,0,398000,0,0,Consumo,2600000,24,141389,Buena Experiencia CFB,Sin Codeudor,Prop.con Hipoteca,2009-01-31,Itagui,Sin Profesión,Caldas,,1,1986-08-01,2004-08-17,2009-01-06,industrias manufactu - fabricacion de susta,41636.0,Negado,Con Experiencia sin Mora,0,57.0
8,9,69,yes,1,3,Bachiller,Ninguno,1666078,828000,Jubilado,Propia,0,7500000,1666078,0,0,0,0,0,828000,0,0,Consumo,3000000,36,124.61,Buena Experiencia CFB,Sin Codeudor,Prop.sin Hipoteca,2009-01-31,Itagui,Sin Profesión,Itagui,,1,,2002-11-13,2009-01-06,,,Negada,Con Experiencia sin Mora,27,
9,10,67,yes,0,3,Primaria,Ninguno,3195890,1036000,Independiente,Propia,0,0,545890,0,0,0,2650000,0,1036000,0,0,Consumo,10000000,48,350.355,Buena Experiencia CFB,Hipoteca,Prop.sin Hipoteca,2009-01-31,Itagui,Sin Profesión,Itagui,,1,,1996-02-07,2009-01-23,hoteles y restaurant - hoteles restaurantes,,Negado,Màximo 3 moras 30 Dìas,0,74.0
